书名,作者,作者国别,出版时间,出版社,价格,评分,评价人数,封面URL,封面路径
一名神经疾病患者的回忆录,丹尼尔·保罗·施瑞伯,德,2025-4,上海三联书店,78.00元,9.7,16,https://img1.doubanio.com/view/subject/s/public/s35119359.jpg,covers/s35119359.jpg
光明与黑暗的辞典,西蒙·斯特朗格,挪威,2025-4,上海译文出版社,68.00,8.2,13,https://img3.doubanio.com/view/subject/s/public/s35101793.jpg,covers/s35101793.jpg
大英博物馆：讲故事的中世纪神话艺术,钱特里·韦斯特维尔,英,2025-4,浙江人民出版社,平装,0.0,25,https://img9.doubanio.com/view/subject/s/public/s35112265.jpg,covers/s35112265.jpg
学习提问：如何提出有价值的研究问题,张静,中国,2025-4,中国人民大学出版社,69元,6.8,60,https://img9.doubanio.com/view/subject/s/public/s35128016.jpg,covers/s35128016.jpg
法庭游戏,五十岚律人,日,2025-4,浙江文艺出版社,62.00元,7.6,91,https://img1.doubanio.com/view/subject/s/public/s35112229.jpg,covers/s35112229.jpg
从莫扎特到贝多芬：侯麦的音乐电台,埃里克·侯麦,法,2025-4,广西师范大学出版社,58.00,8.7,27,https://img1.doubanio.com/view/subject/s/public/s35127589.jpg,covers/s35127589.jpg
"16至20世纪知识史中的流亡者与客居者：Exiles and Expatriates in the History of Knowledge, 1500-2000",彼得·伯克,英,2025-3,商务印书馆,88.00,8.0,34,https://img9.doubanio.com/view/subject/s/public/s35119394.jpg,covers/s35119394.jpg
逻辑学通识讲义,吴军,中国,2025-4,新星出版社,99元,8.8,24,https://img9.doubanio.com/view/subject/s/public/s35132315.jpg,covers/s35132315.jpg
苏格拉底：反讽家与道德哲学家,格里高利·弗拉斯托,美,2025-4,生活·读书·新知三联书店,98.00元,9.2,14,https://img1.doubanio.com/view/subject/s/public/s35104130.jpg,covers/s35104130.jpg
相反的人,陆冉,中国,2025-4,广西师范大学出版社,46.00元,9.4,99,https://img3.doubanio.com/view/subject/s/public/s35119153.jpg,covers/s35119153.jpg
北方文艺复兴艺术：宫廷、商业与虔信,［美] 斯蒂芬妮·波拉斯,中国,2025-5,湖南美术出版社,148.00元,0.0,25,https://img1.doubanio.com/view/subject/s/public/s35114249.jpg,covers/s35114249.jpg
广州贸易：近代中国沿海贸易与对外交流 （1700-1845）,范岱克(Paul A. Van Dyke),美,2025-3,中国科学技术出版社,89.00元,0.0,4,https://img1.doubanio.com/view/subject/s/public/s35025879.jpg,covers/s35025879.jpg
我以幻想为生：胡里奥·科塔萨尔传,米格尔·埃赖斯,西,2025-4-1,中信出版社,69.80元,9.0,16,https://img3.doubanio.com/view/subject/s/public/s35114873.jpg,covers/s35114873.jpg
兽、机、神,韦布·基恩,美,2025-3,中信出版社,69.00元,7.5,28,https://img3.doubanio.com/view/subject/s/public/s35124412.jpg,covers/s35124412.jpg
拉纳克：四卷书里的一生,阿拉斯代尔·格雷,英,2025-4,北京联合出版公司,158.00元,8.8,17,https://img3.doubanio.com/view/subject/s/public/s35101413.jpg,covers/s35101413.jpg
岁月,弗吉尼亚·伍尔夫,英,2025-4,上海译文出版社,78元,0.0,9,https://img9.doubanio.com/view/subject/s/public/s35100435.jpg,covers/s35100435.jpg
文化的故事：从岩画艺术到韩国流行音乐,马丁·普克纳（Martin Puchner）,美,2025-4,译林出版社,78.00元,0.0,3,https://img1.doubanio.com/view/subject/s/public/s35082449.jpg,covers/s35082449.jpg
雪的练习生,多和田叶子,日,2025-3-1,译林出版社,68.00,8.5,312,https://img9.doubanio.com/view/subject/s/public/s35087494.jpg,covers/s35087494.jpg
创意行为：存在即答案,里克·鲁宾,美,2025-4-2,中信出版社,88.00元,8.6,65,https://img1.doubanio.com/view/subject/s/public/s35126079.jpg,covers/s35126079.jpg
让美寻找美：凯迪克金奖绘本细读,王帅乃,中国,2025-4,广东人民出版社,68元,9.5,24,https://img9.doubanio.com/view/subject/s/public/s35124465.jpg,covers/s35124465.jpg
中国记事：1912-1928（全两卷）,王笛,中国,2025-4,人民文学出版社,149.00 元,8.0,15,https://img9.doubanio.com/view/subject/s/public/s35127274.jpg,covers/s35127274.jpg
伊丽莎白·芬奇,朱利安·巴恩斯,英,2025-3-1,译林出版社,58.00元,7.3,33,https://img2.doubanio.com/view/subject/s/public/s35047941.jpg,covers/s35047941.jpg
唐后期皇权问题研究：对隐藏性权力的考察,叶炜,中国,2025-4-1,北京大学出版社,78元,0.0,2,https://img2.doubanio.com/view/subject/s/public/s35124221.jpg,covers/s35124221.jpg
阿拉伯人的大航海：从古代到中世纪早期,乔治·胡拉尼,英,2025-3,光启书局,89.00,0.0,3,https://img2.doubanio.com/view/subject/s/public/s35124621.jpg,covers/s35124621.jpg
天文学家的椅子：19世纪的科学、设计与视觉文化,奥马尔·纳西姆,加,2025,中信出版社,78元,0.0,2,https://img1.doubanio.com/view/subject/s/public/s35146049.jpg,covers/s35146049.jpg
林业的生成：近代中国东北的森林治理与产业秩序：1860-1931,池翔,中国,2025-3,社会科学文献出版社,89元,0.0,5,https://img1.doubanio.com/view/subject/s/public/s35101729.jpg,covers/s35101729.jpg
怪屋谜案 2,雨穴,日,2025-3,台海出版社,59.00,8.0,1249,https://img3.doubanio.com/view/subject/s/public/s35110172.jpg,covers/s35110172.jpg
电影的七段航程：戈达尔论电影,让-吕克·戈达尔,法,2025-3,北京联合出版公司,69.80,8.7,83,https://img1.doubanio.com/view/subject/s/public/s35036330.jpg,covers/s35036330.jpg
日本当代设计,［美］娜奥米·波洛克 / 娜奥米·波洛克,中国 / 中国,2025-4,湖南美术出版社,428.00元,0.0,14,https://img3.doubanio.com/view/subject/s/public/s35114537.jpg,covers/s35114537.jpg
树儿：我的女儿来自星星,朱矛矛,中国,2025-3,广西师范大学出版社,48.00,9.5,72,https://img1.doubanio.com/view/subject/s/public/s35115368.jpg,covers/s35115368.jpg
敦煌日月：出土天文历法文献探赜,邓文宽,中国,2025-4,山西人民出版社,精装,0.0,6,https://img1.doubanio.com/view/subject/s/public/s35107170.jpg,covers/s35107170.jpg
郭实猎与“开放中国”：19世纪上半叶的中西碰撞,李骛哲,中国,2025-3,中华书局,68.00元,8.9,44,https://img3.doubanio.com/view/subject/s/public/s35119482.jpg,covers/s35119482.jpg
少女中国：“女学生”的一百年,滨田麻矢,日,2025-4,生活·读书·新知三联书店,50.00元,8.9,67,https://img9.doubanio.com/view/subject/s/public/s35125744.jpg,covers/s35125744.jpg
悬而未决：气候变化的事实和迷思,史蒂芬·库宁,美,2025-4,上海译文出版社,45.00元,0.0,3,https://img9.doubanio.com/view/subject/s/public/s35115184.jpg,covers/s35115184.jpg
当代前沿社会理论十讲,郑作彧 编著,中国,2025-4-1,上海人民出版社,98,9.4,24,https://img1.doubanio.com/view/subject/s/public/s35131868.jpg,covers/s35131868.jpg
中国古代的身份制：良与贱,堀敏一,日,2025-4-1,江苏人民出版社,78.00元,0.0,6,https://img9.doubanio.com/view/subject/s/public/s35121605.jpg,covers/s35121605.jpg
他者中的近代朝鲜：邻国认知与朝鲜的现代性,弗拉基米尔·吉洪诺夫,韩,2025-3-1,江苏人民出版社,78.00元,0.0,6,https://img1.doubanio.com/view/subject/s/public/s35110208.jpg,covers/s35110208.jpg
波斯中国风：13世纪蒙古帝国治下的伊朗艺术,門井由佳,日,2025-4,中西书局,198.00元,0.0,6,https://img9.doubanio.com/view/subject/s/public/s35114265.jpg,covers/s35114265.jpg
卡拉马佐夫兄弟：精装文库本,陀思妥耶夫斯基,中国,2025-3,广西师范大学出版社,268.00,9.7,60,https://img3.doubanio.com/view/subject/s/public/s35120722.jpg,covers/s35120722.jpg
代尔夫特的制琴师：维米尔和斯宾诺莎时代的音乐、绘画与科学,拉蒙·安德烈斯,西,2025-4,中信出版社,88.00元,0.0,8,https://img2.doubanio.com/view/subject/s/public/s35131871.jpg,covers/s35131871.jpg
美国1960年代,特里·H.安德森,美,2025-4,上海译文出版社,88.00,0.0,0,https://img3.doubanio.com/view/subject/s/public/s35125637.jpg,covers/s35125637.jpg
敌友难辨：冷战谍海逸史,沙青青,中国,2025,中信出版社,79元,8.4,46,https://img9.doubanio.com/view/subject/s/public/s35127144.jpg,covers/s35127144.jpg
还可以的金女士,金子,中国,2025-4,广西师范大学出版社,48元,8.8,187,https://img1.doubanio.com/view/subject/s/public/s35133749.jpg,covers/s35133749.jpg
一日浮生,欧文·D.亚隆,美,2025-3,机械工业出版社,72.00元,8.4,238,https://img9.doubanio.com/view/subject/s/public/s35114275.jpg,covers/s35114275.jpg
塔斯马尼亚,保罗·乔尔达诺,意,2025-4,上海译文出版社,72.00,7.7,16,https://img1.doubanio.com/view/subject/s/public/s35101689.jpg,covers/s35101689.jpg
吃的中国史,张良仁,中国,2025-4,广西师范大学出版社,68.00,0.0,23,https://img9.doubanio.com/view/subject/s/public/s35125636.jpg,covers/s35125636.jpg
异象,伊恩·M.班克斯,英,2025-4,新星出版社,69.00元,7.9,16,https://img9.doubanio.com/view/subject/s/public/s35111775.jpg,covers/s35111775.jpg
一日顶流,石一枫,中国,2025-4,人民文学出版社,56.00元,8.9,23,https://img1.doubanio.com/view/subject/s/public/s35116630.jpg,covers/s35116630.jpg
面具下的她们：ASD女性的自白（第2版）,萨拉·亨德里克斯,英,2025,华夏出版社,59.80元,8.5,19,https://img9.doubanio.com/view/subject/s/public/s35080105.jpg,covers/s35080105.jpg
鸟事一堆：鸟界戏精观察报告,马特·克拉赫特,美,2025-4,生活·读书·新知三联书店,68.00元,0.0,8,https://img2.doubanio.com/view/subject/s/public/s35125741.jpg,covers/s35125741.jpg
阿瑟·米勒短篇小说集,阿瑟·米勒（Arthur Miller）,美,2025-3-31,上海译文出版社,89.00,0.0,5,https://img3.doubanio.com/view/subject/s/public/s35103027.jpg,covers/s35103027.jpg
步行景观：作为审美实践的行走,弗朗切斯科·卡雷里,意大利,2025-3,译林出版社,56.00元,7.8,11,https://img9.doubanio.com/view/subject/s/public/s35106946.jpg,covers/s35106946.jpg
蜂巢：峰仓和也短篇集,峰仓和也,日,2025-4,新星出版社,39.00元,8.0,77,https://img2.doubanio.com/view/subject/s/public/s35114741.jpg,covers/s35114741.jpg
国家公园,安吉拉·艾朵斯,中国,2025-4,湖南科学技术出版社,98,0.0,42,https://img9.doubanio.com/view/subject/s/public/s35118465.jpg,covers/s35118465.jpg
最后的儒家：梁漱溟与中国现代化的两难,艾恺,美,2025-4,生活·读书·新知三联书店,69.00元,0.0,6,https://img9.doubanio.com/view/subject/s/public/s35121226.jpg,covers/s35121226.jpg
追寻兴奋：文明化过程中的体育与休闲,诺贝特·埃利亚斯（Norbert Elias） / 埃里克·邓宁（Eric Dunning）,德 / 英,2025-4,上海人民出版社,95.00元,0.0,10,https://img2.doubanio.com/view/subject/s/public/s35132941.jpg,covers/s35132941.jpg
国家、社会与大学：1700—1914的德国,查尔斯·麦克莱兰,美,2025-4,商务印书馆,86.00,0.0,6,https://img9.doubanio.com/view/subject/s/public/s35101466.jpg,covers/s35101466.jpg
斯人斯土：费孝通的一生,张冠生,中国,2025-4,生活·读书·新知三联书店,79.00元,0.0,6,https://img3.doubanio.com/view/subject/s/public/s35127973.jpg,covers/s35127973.jpg
巫蛊：中国文化的历史暗流,邓启耀,中国,2025-4,广西师范大学出版社,88.00,8.7,15,https://img1.doubanio.com/view/subject/s/public/s35135110.jpg,covers/s35135110.jpg
离散,格雷格·伊根,澳,2025-4,新星出版社,68.00元,8.9,27,https://img3.doubanio.com/view/subject/s/public/s35115357.jpg,covers/s35115357.jpg
赞美不沉默：随机图书馆02,随机波动,中国,2025-4,新星出版社,62.00元,8.2,77,https://img3.doubanio.com/view/subject/s/public/s35100102.jpg,covers/s35100102.jpg
再造世界：工程师的冒险,亨利·波卓斯基（Henry Petroski）,美,2025-5,浙江大学出版社,69.00元,0.0,3,https://img2.doubanio.com/view/subject/s/public/s35118681.jpg,covers/s35118681.jpg
永恒与时间：丸山真男思想史学的交响曲,区建英,中国,2025-4,生活·读书·新知三联书店,98.00元,0.0,7,https://img3.doubanio.com/view/subject/s/public/s35125742.jpg,covers/s35125742.jpg
原子、苏格拉底和量子物理：追寻万物理论,德梅特里斯·尼古拉德斯,美,2025-4,文汇出版社,75.00,0.0,25,https://img1.doubanio.com/view/subject/s/public/s35126768.jpg,covers/s35126768.jpg
辩证的想象：法兰克福学派与社会研究所的历史: 1923——1950,马丁·杰伊,美,2025-4,上海文艺出版社,118.00,0.0,7,https://img2.doubanio.com/view/subject/s/public/s35106961.jpg,covers/s35106961.jpg
对影：围绕母亲的故事,远藤周作,日,2025-3,台海出版社,52.00,7.2,74,https://img1.doubanio.com/view/subject/s/public/s35080620.jpg,covers/s35080620.jpg
制造消费者,安东尼·加卢佐,法,2025-3-15,广东人民出版社,45,8.5,55,https://img1.doubanio.com/view/subject/s/public/s35107328.jpg,covers/s35107328.jpg
北朝隋唐史论集,黄永年,中国,2025-3,山西人民出版社,249.00元,9.4,15,https://img3.doubanio.com/view/subject/s/public/s35119933.jpg,covers/s35119933.jpg
亲爱的小狗,线条小狗,中国,2025-4,北京联合出版公司,59.80元,9.5,86,https://img9.doubanio.com/view/subject/s/public/s35131806.jpg,covers/s35131806.jpg
怪物之乡,邱常婷,中国,2025-5,九州出版社,48.00 元,0.0,12,https://img9.doubanio.com/view/subject/s/public/s35120245.jpg,covers/s35120245.jpg
成为忒弥斯：女律师的征程,尚真 编,中国,2025-3,上海社会科学院出版社,65.00元,7.9,26,https://img9.doubanio.com/view/subject/s/public/s35058066.jpg,covers/s35058066.jpg
弗洛伊德的步伐：分析家的诞生,十川幸司,日,2025-4,上海三联书店,58.00元,0.0,6,https://img3.doubanio.com/view/subject/s/public/s35103987.jpg,covers/s35103987.jpg
失落的王冠,J.F.安德鲁斯,美,2025-4,上海社会科学院出版社,68.00元,0.0,0,https://img1.doubanio.com/view/subject/s/public/s35125970.jpg,covers/s35125970.jpg
柏格森哲学词汇,弗雷德里克·沃姆斯,法,2025-5,重庆大学出版社,35.00元,0.0,2,https://img2.doubanio.com/view/subject/s/public/s35124351.jpg,covers/s35124351.jpg
名为毕加索的异乡人,安妮·科恩-索拉尔,法国,2025-3,译林出版社,128.00元,0.0,3,https://img9.doubanio.com/view/subject/s/public/s35056585.jpg,covers/s35056585.jpg
