书名,作者,作者国别,出版时间,出版社,价格,评分,评价人数,封面URL,封面路径
重新发现市中心,威廉·H.怀特,美,2025-4-1,上海译文出版社,78.00,0.0,3,https://img9.doubanio.com/view/subject/s/public/s35119224.jpg,covers/s35119224.jpg
窥夜,金笑,中国,2025-3,湖南文艺出版社,79.8元,0.0,48,https://img2.doubanio.com/view/subject/s/public/s35124471.jpg,covers/s35124471.jpg
我是马拉拉,马拉拉•尤素福扎伊 / 克里斯蒂娜•兰姆,巴基斯坦 / 英,2025-4-15,广东旅游出版社,58,0.0,23,https://img1.doubanio.com/view/subject/s/public/s35101298.jpg,covers/s35101298.jpg
夜雨寄北,李修文,中国,2025-4,花城出版社,58.00,0.0,25,https://img3.doubanio.com/view/subject/s/public/s35118662.jpg,covers/s35118662.jpg
害马之群：失控的群体如何助长个体的不当行为,凯文·R·墨菲,美,2025-4,新华出版社,88元,9.1,23,https://img1.doubanio.com/view/subject/s/public/s35116709.jpg,covers/s35116709.jpg
拥有快乐的秘密,艾丽斯·沃克,美,2025-5,江苏凤凰文艺出版社,78.00元,0.0,28,https://img9.doubanio.com/view/subject/s/public/s35116736.jpg,covers/s35116736.jpg
无处可逃的家,阿部恭子,日,2025-4,湖南文艺出版社,49.80元,7.3,51,https://img3.doubanio.com/view/subject/s/public/s35107327.jpg,covers/s35107327.jpg
亲爱的奥利弗：与奥利弗·萨克斯的书信奇缘,苏珊·R.巴里,美,2025-4-15,东方出版中心,88.00元,9.0,15,https://img2.doubanio.com/view/subject/s/public/s35110911.jpg,covers/s35110911.jpg
古史中的神话：夏商周祖先神话溯源,宋亦箫,中国,2025-4-30,广西师范大学出版社,88,0.0,7,https://img2.doubanio.com/view/subject/s/public/s35125971.jpg,covers/s35125971.jpg
博帕尔的灾难,多米尼克·拉皮埃尔 / 哈维尔·莫罗,法 / 西,2025-4,上海译文出版社,68.00元,0.0,4,https://img1.doubanio.com/view/subject/s/public/s35115819.jpg,covers/s35115819.jpg
